Gender,City,Main language at work,Company size,Company type,Seniority level,Position (without seniority),Your main technology / programming language,Number of vacation days,Сontract duration,Company business sector,Position,Other technologies/programming languages you use often,Employment status,Age,Number of home office days per month,Yearly salary,Years of experience total,cluster
Male,Berlin,English,50-100,Startup,Senior,Fullstack Developer,PHP,Other,unlimited,Tourism,0,0,0,30.0 - 35.0,0.0 - 36.0,64000.0,nan,0
Male,Berlin,English,10-50,Product,Middle,Backend Developer,Python,Other,unlimited,Scientific Activities,0,0,0,25.0 - 30.0,0.0 - 36.0,55000.0,2.0 - 3.0,4
Male,Berlin,English,1000+,Startup,Middle,Mobile Developer,Kotlin,27.0,unlimited,0,0,0,0,0.0 - 5.0,0.0 - 36.0,70000.0,3.0 - 4.0,3
Male,Berlin,English,100-1000,Product,Senior,Backend Developer,PHP,Other,unlimited,Transport,0,0,0,25.0 - 30.0,0.0 - 36.0,63000.0,5.0 - 6.0,0
Male,Berlin,English,50-100,Product,Senior,Other,Other,30.0,unlimited,Other,0,0,0,30.0 - 35.0,0.0 - 36.0,66000.0,9.0 - 10.0,0
Male,Berlin,English,1000+,Product,Middle,Other,Python,27.0,unlimited,Сommerce,0,0,0,30.0 - 35.0,0.0 - 36.0,80000.0,nan,1
Male,Berlin,English,50-100,Startup,Senior,Backend Developer,Java,25.0,unlimited,0,0,0,0,30.0 - 35.0,0.0 - 36.0,85000.0,nan,1
Male,Berlin,English,100-1000,Product,Lead,Mobile Developer,Swift,28.0,unlimited,Other,0,0,0,0.0 - 5.0,0.0 - 36.0,66000.0,7.0 - 8.0,0
Male,Berlin,English,100-1000,Product,Senior,Mobile Developer,Kotlin,Other,unlimited,Сommerce,0,0,0,25.0 - 30.0,0.0 - 36.0,65000.0,6.0 - 7.0,0
Male,Berlin,English,10-50,Startup,Middle,Fullstack Developer,Javascript / Typescript,28.0,unlimited,Finance / Insurance,0,0,0,25.0 - 30.0,0.0 - 36.0,63000.0,6.0 - 7.0,0
Male,Berlin,English,100-1000,Product,Senior,Backend Developer,Other,Other,6 months,Other,0,0,0,30.0 - 35.0,0.0 - 36.0,65000.0,7.0 - 8.0,0
Male,Berlin,English,10-50,Startup,Senior,DevOps,Other,30.0,unlimited,Manufacture,0,0,0,20.0 - 25.0,0.0 - 36.0,83000.0,5.0 - 6.0,1
Male,Berlin,English,100-1000,Product,Senior,Other,Not Relevant,30.0,unlimited,Manufacture,0,0,0,25.0 - 30.0,0.0 - 36.0,66000.0,8.0 - 9.0,0
Male,Berlin,English,10-50,Startup,Senior,Frontend Developer,Javascript / Typescript,Other,unlimited,Other,0,0,0,30.0 - 35.0,0.0 - 36.0,70000.0,9.0 - 10.0,3
Male,Berlin,English,100-1000,Startup,Senior,Backend Developer,Java,Other,unlimited,Transport,0,0,0,0.0 - 5.0,0.0 - 36.0,80000.0,6.0 - 7.0,1
Male,Berlin,English,100-1000,Product,Middle,Mobile Developer,Swift,27.0,unlimited,Сommerce,0,0,0,30.0 - 35.0,0.0 - 36.0,72000.0,5.0 - 6.0,3
Male,Berlin,English,50-100,Product,Senior,Backend Developer,Java,28.0,unlimited,Other,0,0,0,30.0 - 35.0,0.0 - 36.0,87000.0,9.0 - 10.0,7
Male,Berlin,English,1000+,Product,Senior,DevOps,Other,30.0,unlimited,Сommerce,0,0,0,30.0 - 35.0,0.0 - 36.0,90000.0,nan,7
Male,Berlin,English,1000+,Product,Senior,Data Scientist,Python,0,unlimited,Сommerce,0,0,0,30.0 - 35.0,0.0 - 36.0,78000.0,5.0 - 6.0,1
Male,Berlin,English,10-50,Startup,Middle,Other,Other,30.0,unlimited,Health,0,0,0,20.0 - 25.0,0.0 - 36.0,70000.0,1.0 - 2.0,3
Male,Hamburg,English,100-1000,Product,Senior,Backend Developer,PHP,25.0,unlimited,Сommerce,0,0,0,25.0 - 30.0,0.0 - 36.0,55000.0,6.0 - 7.0,4
Male,Berlin,English,1000+,Product,Senior,Data Engineer,Python,30.0,unlimited,Other,0,0,0,25.0 - 30.0,0.0 - 36.0,75000.0,4.0 - 5.0,3
Male,Berlin,English,50-100,Product,Senior,DevOps,Not Relevant,Other,unlimited,Other,0,0,0,30.0 - 35.0,0.0 - 36.0,60000.0,nan,0
Male,Berlin,English,1000+,Product,Senior,DevOps,Other,Other,unlimited,Other,0,0,0,30.0 - 35.0,0.0 - 36.0,72000.0,6.0 - 7.0,3
Male,Munich,English,10-50,Consulting / Agency,0,Data Scientist,Python,30.0,unlimited,Сommerce,0,0,0,0.0 - 5.0,0.0 - 36.0,85000.0,6.0 - 7.0,1
Male,Berlin,English,100-1000,Product,Senior,QA,Java,Other,unlimited,Other,0,0,0,30.0 - 35.0,0.0 - 36.0,67000.0,8.0 - 9.0,0
Male,Berlin,English,100-1000,Product,Senior,Backend Developer,PHP,Other,unlimited,Сommerce,0,0,0,30.0 - 35.0,0.0 - 36.0,60000.0,7.0 - 8.0,0
Male,Berlin,English,100-1000,Product,Senior,Other,Java,30.0,unlimited,Other,0,0,0,30.0 - 35.0,0.0 - 36.0,78600.0,nan,1
Male,Berlin,English,0,Startup,0,Backend Developer,PHP,0,0,Finance / Insurance,0,0,0,25.0 - 30.0,0.0 - 36.0,65000.0,5.0 - 6.0,0
Male,Berlin,English,10-50,Product,Senior,Backend Developer,PHP,Other,unlimited,Сommerce,0,0,0,30.0 - 35.0,0.0 - 36.0,60000.0,6.0 - 7.0,0
Male,Berlin,English,1000+,Product,Senior,Backend Developer,PHP,28.0,unlimited,Сommerce,0,0,0,35.0 - 40.0,0.0 - 36.0,65000.0,nan,0
Male,Berlin,Deutsch,1000+,Product,Middle,Backend Developer,Java,Other,unlimited,0,0,0,0,30.0 - 35.0,0.0 - 36.0,58000.0,3.0 - 4.0,4
Male,Berlin,English,100-1000,Product,Senior,Backend Developer,Java,30.0,unlimited,0,0,0,0,30.0 - 35.0,0.0 - 36.0,69000.0,8.0 - 9.0,3
Male,Cologne,English,50-100,Startup,Senior,Backend Developer,Java,30.0,unlimited,0,0,0,0,30.0 - 35.0,0.0 - 36.0,67000.0,3.0 - 4.0,0
Male,Berlin,English,10-50,Product,Senior,Backend Developer,Other,25.0,unlimited,0,0,0,0,30.0 - 35.0,0.0 - 36.0,75000.0,9.0 - 10.0,3
Male,Berlin,English,100-1000,Product,Middle,Data Engineer,Java,30.0,unlimited,Finance / Insurance,0,0,0,30.0 - 35.0,0.0 - 36.0,70000.0,9.0 - 10.0,3
Male,Berlin,English,50-100,Startup,Senior,Backend Developer,PHP,25.0,unlimited,Сommerce,0,0,0,25.0 - 30.0,0.0 - 36.0,60000.0,9.0 - 10.0,0
Female,Berlin,English,10-50,Startup,Senior,Manager,Javascript / Typescript,Other,unlimited,Finance / Insurance,0,0,0,35.0 - 40.0,0.0 - 36.0,85000.0,9.0 - 10.0,1
Male,Berlin,English,1000+,Product,Middle,Backend Developer,Java,30.0,unlimited,Сommerce,0,0,0,30.0 - 35.0,0.0 - 36.0,62000.0,1.0 - 2.0,0
Male,Düsseldorf,English,1000+,Product,Senior,Backend Developer,Java,25.0,unlimited,Tourism,0,0,0,25.0 - 30.0,0.0 - 36.0,75000.0,8.0 - 9.0,3
Male,Other,English,50-100,Consulting / Agency,Senior,Backend Developer,Java,Other,unlimited,Other,0,0,0,25.0 - 30.0,0.0 - 36.0,75000.0,3.0 - 4.0,3
Male,Berlin,English,100-1000,Startup,Middle,Backend Developer,Ruby,Other,unlimited,Tourism,0,0,0,25.0 - 30.0,0.0 - 36.0,61000.0,2.0 - 3.0,0
Male,Berlin,English,1000+,Product,Senior,Fullstack Developer,Javascript / Typescript,30.0,unlimited,Finance / Insurance,0,0,0,30.0 - 35.0,0.0 - 36.0,80000.0,nan,1
Male,Cologne,Deutsch,10-50,Startup,Senior,Backend Developer,.NET,30.0,unlimited,0,0,0,0,30.0 - 35.0,0.0 - 36.0,60000.0,9.0 - 10.0,0
Male,Munich,Deutsch,1000+,Consulting / Agency,Senior,Frontend Developer,Javascript / Typescript,30.0,unlimited,Finance / Insurance,0,0,0,30.0 - 35.0,0.0 - 36.0,56600.0,6.0 - 7.0,4
Male,Munich,English,10-50,Startup,Lead,Data Scientist,Python,25.0,unlimited,Сommerce,0,0,0,25.0 - 30.0,0.0 - 36.0,81000.0,7.0 - 8.0,1
Male,Berlin,English,100-1000,Startup,Senior,Data Scientist,Python,28.0,unlimited,Сommerce,0,0,0,25.0 - 30.0,0.0 - 36.0,75000.0,3.0 - 4.0,3
Male,Berlin,English,1000+,Product,Senior,Data Scientist,Python,Other,more than 1 year,Сommerce,0,0,0,0.0 - 5.0,0.0 - 36.0,80000.0,5.0 - 6.0,1
Male,Munich,English,100-1000,Consulting / Agency,Senior,Mobile Developer,Kotlin,30.0,unlimited,Transport,0,0,0,25.0 - 30.0,0.0 - 36.0,72000.0,4.0 - 5.0,3
Female,Other,Deutsch,10-50,Product,Senior,Other,0,30.0,unlimited,Health,0,0,0,30.0 - 35.0,0.0 - 36.0,61000.0,9.0 - 10.0,0
Male,Berlin,English,100-1000,Startup,Middle,Other,Python,28.0,unlimited,Manufacture,0,0,0,25.0 - 30.0,0.0 - 36.0,61000.0,5.0 - 6.0,0
Female,Munich,English,50-100,Startup,Senior,Backend Developer,Python,30.0,unlimited,0,0,0,0,35.0 - 40.0,0.0 - 36.0,76000.0,nan,3
Male,Munich,English,10-50,Startup,Senior,Mobile Developer,Swift,30.0,unlimited,Сommerce,0,0,0,25.0 - 30.0,0.0 - 36.0,75000.0,7.0 - 8.0,3
Male,Berlin,English,100-1000,Product,Senior,Other,PHP,28.0,unlimited,Сommerce,0,0,0,30.0 - 35.0,0.0 - 36.0,60000.0,8.0 - 9.0,0
Female,Berlin,English,100-1000,Startup,Middle,Data Scientist,Python,27.0,unlimited,Other,0,0,0,25.0 - 30.0,0.0 - 36.0,66000.0,2.0 - 3.0,0
Male,Munich,English,1000+,Product,Senior,Mobile Developer,Swift,27.0,unlimited,Сommerce,0,0,0,25.0 - 30.0,0.0 - 36.0,60000.0,7.0 - 8.0,0
Male,Berlin,English,50-100,Product,Senior,Backend Developer,PHP,Other,unlimited,Сommerce,0,0,0,30.0 - 35.0,0.0 - 36.0,65000.0,nan,0
Male,Berlin,English,50-100,Startup,Middle,Data Scientist,Python,28.0,unlimited,Finance / Insurance,0,0,0,20.0 - 25.0,0.0 - 36.0,50000.0,2.0 - 3.0,6
Male,Munich,English,100-1000,Consulting / Agency,Senior,Other,Other,30.0,unlimited,Transport,0,0,0,30.0 - 35.0,0.0 - 36.0,78000.0,nan,1
Male,Munich,English,50-100,Product,Middle,DevOps,Other,27.0,unlimited,IT,0,0,0,25.0 - 30.0,0.0 - 36.0,80000.0,9.0 - 10.0,1
